segment_rank,contact_channel_group,contact_timing,cohort,src_risk_tier,segment_label,n__saved,n__stopped,median_saved__frequency,median_saved__breadth,median_saved__tenure,median_saved__tt_cost,median_stopped__frequency,median_stopped__breadth,median_stopped__tenure,median_stopped__tt_cost,delta__frequency,delta__breadth,delta__tenure,delta__tt_cost,total_users,observed_saved_share,contrast_magnitude,dominant_metric,dominant_outcome
0,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing,105,87,70.0,5.0,1405.5,414.4185,7.5,1.0,1439.0,486.51300000000003,0.8561643835616438,0.5714285714285714,-0.0568760611205433,-0.21761421089965144,192,0.546875,1.0536312898915128,frequency,Saved
1,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk,27,46,44.0,5.0,1453.0,502.83000000000004,26.0,4.0,1789.0,624.7080000000001,0.2465753424657534,0.14285714285714285,-0.5704584040747028,-0.3678836082645377,73,0.3698630136986301,0.7361852367350235,tenure,Stopped
2,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing,81,89,65.0,5.0,1475.0,453.213,21.0,3.0,1328.0,443.556,0.6027397260273972,0.2857142857142857,0.24957555178268254,0.029149247649376056,170,0.4764705882352941,0.7127871106290864,frequency,Saved
3,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk,27,100,69.0,7.0,1454.0,364.645,76.0,7.0,1573.5,519.8861666666667,-0.0958904109589041,0.0,-0.20288624787775889,-0.46858892125346513,127,0.2125984251968504,0.5195511308940335,tt_cost,Stopped
4,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,3. Medium risk,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 3. Medium risk,25,52,13.0,2.0,1360.0,462.87000000000006,1.5,0.0,1332.0,493.173,0.15753424657534254,0.2857142857142857,0.04753820033955858,-0.0914683288308002,77,0.3246753246753247,0.34216374380683395,breadth,Saved
5,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk,32,37,43.5,4.0,1726.5,574.9245000000001,34.0,4.0,1815.0,656.0100000000001,0.13013698630136986,0.0,-0.1502546689303904,-0.24475316560769134,69,0.463768115942029,0.3153033663219759,tt_cost,Stopped
6,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk,122,118,83.5,6.0,1569.5,382.7581666666666,82.5,7.0,1541.5,474.192,0.013698630136986356,-0.14285714285714285,0.04753820033955855,-0.27598917379777355,240,0.5083333333333333,0.31468352400155575,tt_cost,Stopped
7,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk,109,80,87.0,7.0,1556.0,459.24300000000005,79.0,6.0,1488.0,433.0665,0.1095890410958904,0.14285714285714285,0.11544991511035654,0.07901266243076425,189,0.5767195767195767,0.2280122911533703,breadth,Saved
