segment_rank,segment_label,contact_channel_group,contact_timing,cohort,src_risk_tier,Treatment,metric,n__saved,non_null__saved,clipped_median__saved,clipped_q25__saved,clipped_q75__saved,clipped_iqr__saved,n__stopped,non_null__stopped,clipped_median__stopped,clipped_q25__stopped,clipped_q75__stopped,clipped_iqr__stopped,clipped_median_difference,clipped_median_difference_ci_lower,clipped_median_difference_ci_upper,bootstrap_iterations,confidence_level
1,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Midpoint,breadth,12,12,8.0,4.75,9.0,4.25,25,25,4.0,1.0,6.0,5.0,4.0,0.0,6.5,2000,0.95
1,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Midpoint,tenure,12,12,1299.0,743.25,1951.75,1208.5,25,25,1785.0,1333.0,2170.0,837.0,-486.0,-1081.0375,203.0,2000,0.95
1,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Midpoint,tt_cost,12,12,488.511,217.50225,680.3263333333333,462.8240833333333,25,25,596.0699999999999,464.535,745.5870000000001,281.0520000000001,-107.55899999999991,-411.1484999999999,100.58066666666673,2000,0.95
1,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Tiered,frequency,6,6,41.5,27.5,51.0,23.5,16,16,25.5,12.5,40.0,27.5,16.0,-16.5,34.0,2000,0.95
1,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Tiered,breadth,6,6,4.5,2.5,5.75,3.25,16,16,4.0,2.75,6.25,3.5,0.5,-4.0,3.0,2000,0.95
1,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Tiered,tenure,6,6,2320.0,1651.0,2466.25,815.25,16,16,2059.0,1620.5,2654.5,1034.0,261.0,-1154.0249999999999,700.5,2000,0.95
1,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Tiered,tt_cost,6,6,772.56,549.783,821.26125,271.47825,16,16,685.6469999999999,554.1255000000001,900.432,346.3064999999999,86.91300000000001,-433.4275374999998,625.4653333333331,2000,0.95
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Control,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Control,frequency,58,58,60.5,21.75,85.0,63.25,31,31,5.0,0.0,32.5,32.5,55.5,29.5,71.5,2000,0.95
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Control,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Control,breadth,58,58,6.0,2.0,9.0,7.0,31,31,1.0,0.0,5.0,5.0,5.0,1.5,7.0,2000,0.95
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Control,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Control,tenure,58,58,1488.5,1276.25,1718.0,441.75,31,31,1300.0,601.0,1540.5,939.5,188.5,43.2125000000005,489.0,2000,0.95
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Control,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Control,tt_cost,58,58,453.71250000000003,283.76466666666664,542.04075,258.27608333333336,31,31,443.556,169.16400000000002,672.9399999999999,503.77599999999995,10.156500000000051,-160.23352083333324,77.04388749999929,2000,0.95
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Midpoint,frequency,23,23,77.0,49.0,89.0,40.0,58,58,39.0,6.25,73.0,66.75,38.0,14.0,67.0,2000,0.95
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Midpoint,breadth,23,23,5.0,2.5,7.5,5.0,58,58,4.0,1.0,6.0,5.0,1.0,-1.0,4.0,2000,0.95
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Midpoint,tenure,23,23,1468.0,1298.0,1882.5,584.5,58,58,1374.0,1065.25,1553.75,488.5,94.0,-38.0,328.0,2000,0.95
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Midpoint,tt_cost,23,23,421.911,328.38750000000005,566.9643333333333,238.5768333333333,58,58,447.3855,268.64750000000004,623.49275,354.84524999999996,-25.474499999999978,-125.35466249999995,104.45367499999973,2000,0.95
