segment_rank,contact_channel_group,contact_timing,cohort,src_risk_tier,segment_label,n__saved,n__stopped,median_saved__frequency,median_saved__breadth,median_saved__tenure,median_saved__tt_cost,median_stopped__frequency,median_stopped__breadth,median_stopped__tenure,median_stopped__tt_cost,delta__frequency,delta__breadth,delta__tenure,delta__tt_cost,total_users,observed_saved_share,contrast_magnitude,dominant_metric,dominant_outcome
0,Called-In Cancel Flow,Contact On/After Pricing,Two-Offer Cohort,,Called-In Cancel Flow · Contact On/After Pricing · Two-Offer Cohort · Missing,78,50,70.0,6.0,1425.0,408.25800000000004,16.0,2.0,1388.0,472.527,0.7397260273972602,0.5714285714285714,0.0634648370497427,-0.19438442964658187,128,0.609375,0.9568376559712769,frequency,Saved
1,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk,20,28,43.5,4.5,1438.5,493.33950000000004,22.0,4.0,1832.0,662.337,0.29452054794520544,0.07142857142857142,-0.6749571183533447,-0.5111404043815564,48,0.4166666666666667,0.8992641539533657,tenure,Stopped
2,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing,82,89,64.5,5.0,1478.0,453.71250000000003,21.0,3.0,1328.0,443.556,0.595890410958904,0.2857142857142857,0.25728987993138935,0.030718782923423744,171,0.47953216374269003,0.7098307973548352,frequency,Saved
3,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk,34,37,44.0,4.0,1602.5,533.6325,34.0,4.0,1815.0,656.0100000000001,0.136986301369863,0.0,-0.3644939965694683,-0.3701361548969893,71,0.4788732394366197,0.5372354171684017,tt_cost,Stopped
4,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk,27,100,69.0,7.0,1454.0,364.645,76.0,7.0,1573.5,519.8861666666667,-0.0958904109589041,0.0,-0.20497427101200685,-0.46953376651527157,127,0.2125984251968504,0.5212210477223542,tt_cost,Stopped
5,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,1. Low risk,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 1. Low risk,78,59,87.5,7.0,1526.0,447.24299999999994,79.0,5.0,1453.0,411.588,0.11643835616438358,0.2857142857142857,0.12521440823327615,0.10784012259485712,137,0.5693430656934306,0.34999811987776686,breadth,Saved
6,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk,124,117,83.5,6.0,1567.0,382.284,82.0,7.0,1544.0,474.192,0.020547945205479423,-0.14285714285714285,0.03945111492281303,-0.2779798061267184,241,0.5145228215767634,0.3156889994921813,tt_cost,Stopped
