metric,p01,median,iqr,p99
frequency,0.0,45.0,73.0,91.0
breadth,0.0,4.0,7.0,16.0
tenure,325.0,1450.0,583.0,3625.5999999999894
tt_cost,108.22500000000001,462.87000000000006,330.6283333333333,1808.0521666666664
