segment_rank,segment_label,contact_channel_group,contact_timing,cohort,src_risk_tier,Treatment,metric,n__saved,non_null__saved,clipped_median__saved,clipped_q25__saved,clipped_q75__saved,clipped_iqr__saved,n__stopped,non_null__stopped,clipped_median__stopped,clipped_q25__stopped,clipped_q75__stopped,clipped_iqr__stopped,clipped_median_difference,clipped_median_difference_ci_lower,clipped_median_difference_ci_upper,bootstrap_iterations,confidence_level
1,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Midpoint,frequency,9,9,58.0,39.0,69.0,30.0,16,16,19.0,13.25,27.0,13.75,39.0,15.5,54.0,2000,0.95
1,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Midpoint,breadth,9,9,8.0,4.0,9.0,5.0,16,16,3.5,1.0,4.25,3.25,4.5,0.0,7.5,2000,0.95
1,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Midpoint,tenure,9,9,1174.0,751.0,1510.0,759.0,16,16,1832.0,1685.25,2187.25,502.0,-658.0,-1277.0,211.0,2000,0.95
1,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk · Midpoint,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Midpoint,tt_cost,9,9,474.192,250.08300000000003,724.3043333333333,474.22133333333323,16,16,649.683,582.0840000000001,751.8117500000001,169.72775000000001,-175.49099999999999,-484.01550000000003,129.0668333333333,2000,0.95
1,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Tiered,frequency,3,3,24.0,13.5,44.5,31.0,8,8,27.5,19.25,40.0,20.75,-3.5,-36.0,48.5,2000,0.95
1,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Tiered,breadth,3,3,4.0,2.5,6.5,4.0,8,8,6.0,4.0,7.25,3.25,-2.0,-6.0,5.0,2000,0.95
1,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Tiered,tenure,3,3,2490.0,1971.5,2518.0,546.5,8,8,1914.0,1611.75,2937.5,1325.75,576.0,-1327.5,1131.0,2000,0.95
1,Called-In Cancel Flow · Contact On/After Pricing · Three-Offer Cohort · 2. Med-Low risk · Tiered,Called-In Cancel Flow,Contact On/After Pricing,Three-Offer Cohort,2. Med-Low risk,Tiered,tt_cost,3,3,829.1700000000001,656.5095,1262.8273333333332,606.3178333333332,8,8,637.3620000000001,544.1823333333333,1129.5847916666667,585.4024583333334,191.808,-871.8915833333333,1131.9883749999983,2000,0.95
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Control,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Control,frequency,59,59,60.0,22.5,85.0,62.5,31,31,5.0,0.0,32.5,32.5,55.0,29.0,71.0,2000,0.95
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Control,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Control,breadth,59,59,6.0,2.0,9.0,7.0,31,31,1.0,0.0,5.0,5.0,5.0,1.0,7.0,2000,0.95
