population,accounts,share_of_all_pct
0. All mature notified users,9398,100.0
1. No Action yet,7867,83.70929985103214
1. Contacted users,1531,16.290700148967865
2. Likely gamers — diagnostic only,33,0.3511385401149181
2. Called once — primary analysis,1498,15.939561608852948
3. Called once and Saved,569,6.05447967652692
3. Called once and Stopped,929,9.885081932326027
